LocationAbbr,DataValue_dia01,DataValue_dia02,DataValue_dia03,DataValue_dia04
AR,13.6,11.9,105.4,1.9
AL,14.0,6.8,67.1,2.3
CT,9.6,11.9,61.6,1.3
CO,7.0,7.4,78.1,1.5
GA,12.0,10.2,70.4,1.4
FL,11.7,9.9,80.7,1.2
IL,11.3,9.9,66.5,1.3
LA,12.6,7.9,87.1,1.6
KS,10.8,10.9,85.4,1.8
KY,13.3,10.9,155.9,3.4
IA,10.3,12.3,110.8,1.2
MA,8.4,10.6,59.8,1.3
MN,8.8,10.5,110.5,2.3
MO,10.3,9.0,76.9,1.5
MI,11.1,8.7,88.1,1.4
MT,7.6,5.8,91.9,1.9
MD,11.0,9.6,91.8,2.3
MS,14.8,7.6,143.1,1.6
ME,10.6,10.0,98.6,1.9
NM,12.3,9.9,94.2,3.0
NY,10.5,10.5,74.8,1.6
NH,9.2,8.5,83.5,1.9
NE,10.2,8.7,109.0,1.3
NC,11.8,8.5,84.1,1.7
OR,8.6,11.8,112.3,1.7
PA,10.8,13.9,89.3,1.4
UT,8.0,7.3,57.3,1.4
WA,9.4,10.8,83.1,1.9
VA,10.9,9.5,66.4,1.1
US,11.1,10.0,86.2,1.7
TN,13.8,11.3,108.2,3.1
WI,8.7,9.6,102.1,1.9
